Team,Date,Opponents,Score,Lost,Home/Away
Dreamers,2020/12/19,Fubon Braves,86,89,H
Dreamers,2020/12/20,Pilots,83,103,H
Dreamers,2021/1/3,Pilots,100,104,A
Dreamers,2021/1/9,Lioneers,95,87,A
Dreamers,2021/1/16,Fubon Braves,95,115,A
Dreamers,2021/1/17,Pilots,86,90,A
Dreamers,2021/1/23,Pilots,84,89,H
Dreamers,2021/1/24,Lioneers,92,81,H
Dreamers,2021/1/30,Lioneers,103,92,A
Dreamers,2021/1/31,Fubon Braves,84,111,A
Dreamers,2021/2/6,Fubon Braves,100,91,A
Dreamers,2021/2/7,Lioneers,96,85,A
Dreamers,2021/2/21,Pilots,102,99,H
Dreamers,2021/2/27,Fubon Braves,101,89,A
Dreamers,2021/2/28,Pilots,98,90,A
Dreamers,2021/3/6,Fubon Braves,104,114,H
Dreamers,2021/3/13,Fubon Braves,94,99,H
Dreamers,2021/3/14,Lioneers,105,112,H
Dreamers,2021/3/20,Lioneers,87,99,A
Dreamers,2021/3/21,Pilots,107,100,A
Dreamers,2021/3/27,Lioneers,99,91,H
Dreamers,2021/3/28,Fubon Braves,106,110,H
Dreamers,2021/4/3,Pilots,95,106,A
Dreamers,2021/4/4,Lioneers,100,108,A
Dreamers,2021/12/4,Fubon Braves,111,108,H
Dreamers,2021/12/11,Kings,64,84,A
Dreamers,2021/12/12,Pilots,95,92,A
Dreamers,2021/12/19,Kings,89,94,H
Dreamers,2021/12/25,Steelers,106,104,H
Dreamers,2022/1/7,Fubon Braves,86,80,A
Dreamers,2022/1/9,Lioneers,80,86,H
Dreamers,2022/1/15,Lioneers,84,78,A
Dreamers,2022/1/16,Steelers,89,82,A
Dreamers,2022/2/12,Fubon Braves,68,83,A
Dreamers,2022/2/13,Steelers,74,68,A
Dreamers,2022/2/18,Kings,115,99,A
Dreamers,2022/3/5,Pilots,77,81,H
Dreamers,2022/3/12,Fubon Braves,101,121,H
Dreamers,2022/3/19,Lioneers,97,74,A
Dreamers,2022/3/20,Steelers,109,88,A
Dreamers,2022/3/26,Steelers,80,95,H
Dreamers,2022/4/3,Pilots,111,77,A
Dreamers,2022/4/4,Kings,91,93,A
Dreamers,2022/4/9,Lioneers,78,96,H
Dreamers,2022/4/12,Pilots,92,87,H
Dreamers,2022/4/16,Kings,126,87,H
Dreamers,2022/4/23,Fubon Braves,124,87,A
Dreamers,2022/4/24,Pilots,104,97,A
Dreamers,2022/4/29,Lioneers,92,85,H
Dreamers,2022/5/1,Steelers,103,120,H
Dreamers,2022/5/13,Lioneers,84,89,A
Dreamers,2022/5/15,Fubon Braves,104,100,H
Dreamers,2022/5/27,Pilots,110,76,H
Dreamers,2022/5/28,Kings,100,85,H
Dreamers,2022/11/12,Steelers,84,76,A
Dreamers,2022/11/13,Fibon Braves,75,108,A
Dreamers,2022/11/19,Kings,89,101,A
Dreamers,2022/11/20,Pilots,88,77,A
Dreamers,2022/11/27,Kings,102,82,H
Dreamers,2022/12/3,Lioneers,77,82,H
Dreamers,2022/12/6,Fibon Braves,87,90,A
Dreamers,2022/12/11,Fibon Braves,97,94,H
Dreamers,2022/12/18,Pilots,80,84,H
Dreamers,2022/12/24,Steelers,117,94,A
Dreamers,2022/12/25,Kings,90,99,A
Dreamers,2022/12/31,Lioneers,97,102,H
