Team,Date,Opponents,Score,Lost,Home/Away
Fubon Braves,2020/12/19,Dreamers,89,86,A
Fubon Braves,2020/12/27,Lioneers,96,87,A
Fubon Braves,2021/1/2,Pilots,93,83,H
Fubon Braves,2021/1/3,Lioneers,96,86,H
Fubon Braves,2021/1/10,Lioneers,105,98,A
Fubon Braves,2021/1/16,Dreamers,115,95,H
Fubon Braves,2021/1/17,Lioneers,102,111,H
Fubon Braves,2021/1/23,Lioneers,87,67,H
Fubon Braves,2021/1/24,Pilots,102,79,H
Fubon Braves,2021/1/30,Pilots,110,97,H
Fubon Braves,2021/1/31,Dreamers,111,84,H
Fubon Braves,2021/2/6,Dreamers,91,100,H
Fubon Braves,2021/2/7,Pilots,82,97,H
Fubon Braves,2021/2/21,Lioneers,106,97,A
Fubon Braves,2021/2/27,Dreamers,89,101,H
Fubon Braves,2021/3/1,Lioneers,76,83,H
Fubon Braves,2021/3/6,Dreamers,114,104,A
Fubon Braves,2021/3/7,Lioneers,109,105,A
Fubon Braves,2021/3/13,Dreamers,99,94,A
Fubon Braves,2021/3/14,Pilots,124,94,A
Fubon Braves,2021/3/27,Pilots,109,93,A
Fubon Braves,2021/3/28,Dreamers,110,106,A
Fubon Braves,2021/4/5,Pilots,110,100,H
Fubon Braves,2021/4/10,Pilots,117,101,A
Fubon Braves,2021/12/4,Dreamers,108,111,A
Fubon Braves,2021/12/5,Steelers,107,82,A
Fubon Braves,2021/12/11,Lioneers,98,87,H
Fubon Braves,2021/12/18,Kings,102,109,H
Fubon Braves,2021/12/25,Lioneers,92,82,H
Fubon Braves,2022/1/1,Lioneers,106,114,A
Fubon Braves,2022/1/2,Kings,120,115,A
Fubon Braves,2022/1/7,Dreamers,80,86,H
Fubon Braves,2022/1/9,Kings,95,91,H
Fubon Braves,2022/1/15,Kings,75,102,A
Fubon Braves,2022/1/16,Pilots,103,84,A
Fubon Braves,2022/1/23,Steelers,82,94,H
Fubon Braves,2022/2/12,Dreamers,83,68,H
Fubon Braves,2022/2/19,Steelers,106,87,H
Fubon Braves,2022/3/6,Pilots,99,79,H
Fubon Braves,2022/3/12,Dreamers,121,101,A
Fubon Braves,2022/3/13,Pilots,91,82,A
Fubon Braves,2022/3/18,Steelers,111,91,A
Fubon Braves,2022/3/20,Pilots,95,85,H
Fubon Braves,2022/3/26,Kings,99,107,H
Fubon Braves,2022/4/3,Lioneers,103,114,A
Fubon Braves,2022/4/4,Steelers,113,97,A
Fubon Braves,2022/4/10,Lioneers,91,98,H
Fubon Braves,2022/4/17,Steelers,109,87,H
Fubon Braves,2022/4/23,Dreamers,87,124,H
Fubon Braves,2022/4/30,Pilots,86,80,H
Fubon Braves,2022/5/14,Pilots,98,97,A
Fubon Braves,2022/5/15,Dreamers,100,104,A
Fubon Braves,2022/5/18,Kings,103,98,A
Fubon Braves,2022/5/21,Lioneers,99,108,A
Fubon Braves,2022/11/5,Lioneers,102,94,A
Fubon Braves,2022/11/6,Steelers,117,114,A
Fubon Braves,2022/11/13,Dreamers,108,75,H
Fubon Braves,2022/11/20,Lioneers,104,108,H
Fubon Braves,2022/11/25,Kings,89,104,H
Fubon Braves,2022/12/3,Steelers,125,119,H
Fubon Braves,2022/12/6,Dreamers,90,87,H
Fubon Braves,2022/12/10,Kings,99,103,A
Fubon Braves,2022/12/11,Dreamers,94,97,A
Fubon Braves,2022/12/17,Steelers,114,80,A
Fubon Braves,2022/12/18,Lioneers,114,98,A
Fubon Braves,2022/12/23,Pilots,85,90,A
Fubon Braves,2023/1/1,Kings,83,95,H
