Team,Date,Opponents,Score,Lost,Home/Away
Kings,2021/12/11,Dreamers,84,64,H
Kings,2021/12/18,Fubon Braves,109,102,A
Kings,2021/12/19,Dreamers,94,89,A
Kings,2021/12/24,Pilots,94,109,A
Kings,2021/12/26,Lioneers,80,101,H
Kings,2022/1/2,Fubon Braves,115,120,H
Kings,2022/1/8,Pilots,101,90,A
Kings,2022/1/9,Fubon Braves,91,95,A
Kings,2022/1/15,Fubon Braves,102,75,H
Kings,2022/2/13,Lioneers,97,92,H
Kings,2022/2/18,Dreamers,99,115,H
Kings,2022/2/20,Steelers,100,70,H
Kings,2022/3/6,Lioneers,111,96,H
Kings,2022/3/8,Pilots,95,97,H
Kings,2022/3/13,Steelers,98,93,H
Kings,2022/3/19,Pilots,102,92,H
Kings,2022/3/26,Fubon Braves,107,99,A
Kings,2022/3/27,Pilots,111,104,A
Kings,2022/4/2,Steelers,105,94,A
Kings,2022/4/4,Dreamers,93,91,H
Kings,2022/4/9,Pilots,95,85,H
Kings,2022/4/16,Dreamers,87,126,A
Kings,2022/4/17,Lioneers,116,123,A
Kings,2022/4/23,Lioneers,92,110,A
Kings,2022/4/24,Steelers,92,101,A
Kings,2022/4/30,Steelers,80,100,H
Kings,2022/5/14,Steelers,106,76,A
Kings,2022/5/15,Lioneers,113,122,A
Kings,2022/5/18,Fubon Braves,98,103,H
Kings,2022/5/28,Dreamers,85,100,A
Kings,2022/11/12,Pilots,104,91,A
Kings,2022/11/13,Lioneers,113,78,A
Kings,2022/11/19,Dreamers,101,89,H
Kings,2022/11/25,Fubon Braves,104,89,A
Kings,2022/11/27,Dreamers,82,102,A
Kings,2022/12/2,Pilots,93,88,A
Kings,2022/12/4,Steelers,95,115,H
Kings,2022/12/10,Fubon Braves,103,99,H
Kings,2022/12/17,Pilots,74,88,H
Kings,2022/12/20,Steelers,100,89,H
Kings,2022/12/23,Fubon Braves,106,101,H
Kings,2022/12/25,Dreamers,99,90,H
Kings,2022/12/31,Steelers,109,86,A
Kings,2023/1/1,Fubon Braves,95,83,H
