Team,Date,Opponents,Score,Lost,Home/Away
Lioneers,2020/12/26,Pilots,97,91,H
Lioneers,2020/12/27,Fubon Braves,87,96,H
Lioneers,2021/1/3,Fubon Braves,86,96,A
Lioneers,2021/1/9,Dreamers,87,95,H
Lioneers,2021/1/10,Fubon Braves,98,105,H
Lioneers,2021/1/16,Pilots,91,106,A
Lioneers,2021/1/17,Fubon Braves,111,102,A
Lioneers,2021/1/23,Fubon Braves,67,87,A
Lioneers,2021/1/24,Dreamers,81,92,A
Lioneers,2021/1/30,Dreamers,92,103,H
Lioneers,2021/1/31,Pilots,84,72,H
Lioneers,2021/2/6,Pilots,82,111,H
Lioneers,2021/2/7,Dreamers,85,96,H
Lioneers,2021/2/20,Pilots,102,108,H
Lioneers,2021/2/21,Fubon Braves,97,106,H
Lioneers,2021/2/27,Pilots,98,106,A
Lioneers,2021/3/1,Fubon Braves,83,76,A
Lioneers,2021/3/7,Fubon Braves,105,109,H
Lioneers,2021/3/13,Pilots,105,88,A
Lioneers,2021/3/14,Dreamers,112,105,A
Lioneers,2021/3/20,Dreamers,99,87,H
Lioneers,2021/3/27,Dreamers,91,99,A
Lioneers,2021/3/28,Pilots,132,82,A
Lioneers,2021/4/4,Dreamers,108,100,H
Lioneers,2021/12/11,Fubon Braves,87,97,A
Lioneers,2021/12/12,Steelers,105,95,A
Lioneers,2021/12/19,Pilots,95,83,H
Lioneers,2021/12/25,Fubon Braves,82,92,A
Lioneers,2021/12/26,Kings,101,80,A
Lioneers,2022/1/1,Fubon Braves,114,106,H
Lioneers,2022/1/8,Steelers,97,98,A
Lioneers,2022/1/9,Dreamers,86,80,A
Lioneers,2022/1/15,Dreamers,78,84,H
Lioneers,2022/1/21,Steelers,92,105,H
Lioneers,2022/1/23,Pilots,91,65,A
Lioneers,2022/2/12,Pilots,101,80,A
Lioneers,2022/2/13,Kings,92,97,A
Lioneers,2022/3/5,Steelers,97,87,A
Lioneers,2022/3/6,Kings,96,111,A
Lioneers,2022/3/12,Steelers,103,95,H
Lioneers,2022/3/19,Dreamers,74,97,H
Lioneers,2022/3/25,Pilots,89,97,A
Lioneers,2022/3/27,Steelers,107,96,H
Lioneers,2022/4/1,Pilots,116,97,H
Lioneers,2022/4/3,Fubon Braves,114,103,H
Lioneers,2022/4/9,Dreamers,96,78,A
Lioneers,2022/4/10,Fubon Braves,98,91,A
Lioneers,2022/4/17,Kings,123,116,H
Lioneers,2022/4/23,Kings,110,92,H
Lioneers,2022/4/29,Dreamers,85,92,A
Lioneers,2022/5/1,Pilots,94,86,H
Lioneers,2022/5/13,Dreamers,89,84,H
Lioneers,2022/5/15,Kings,122,113,H
Lioneers,2022/5/21,Fubon Braves,108,99,H
Lioneers,2022/11/5,Fubon Braves,94,102,H
Lioneers,2022/11/13,Kings,78,113,H
Lioneers,2022/11/19,Steelers,89,83,A
Lioneers,2022/11/20,Fubon Braves,108,104,A
Lioneers,2022/11/29,Steelers,102,101,H
Lioneers,2022/12/3,Dreamers,82,77,A
Lioneers,2022/12/4,Pilots,80,94,A
Lioneers,2022/12/10,Pilots,79,102,H
Lioneers,2022/12/18,Fubon Braves,98,114,H
Lioneers,2022/12/24,Pilots,60,103,H
Lioneers,2022/12/27,Steelers,109,85,A
Lioneers,2022/12/31,Dreamers,102,97,A
Lioneers,2023/1/1,Pilots,90,105,H
