Team,Date,Opponents,Score,Lost,Home/Away
Pilots,2020/12/20,Dreamers,103,83,A
Pilots,2020/12/26,Lioneers,91,97,A
Pilots,2021/1/2,Fubon Braves,83,93,A
Pilots,2021/1/3,Dreamers,104,100,H
Pilots,2021/1/16,Lioneers,106,91,H
Pilots,2021/1/17,Dreamers,90,86,H
Pilots,2021/1/23,Dreamers,89,84,A
Pilots,2021/1/24,Fubon Braves,79,102,A
Pilots,2021/1/30,Fubon Braves,97,110,A
Pilots,2021/1/31,Lioneers,72,84,A
Pilots,2021/2/6,Lioneers,111,82,A
Pilots,2021/2/7,Fubon Braves,97,82,A
Pilots,2021/2/20,Lioneers,108,102,A
Pilots,2021/2/21,Dreamers,99,102,A
Pilots,2021/2/27,Lioneers,106,98,H
Pilots,2021/2/28,Dreamers,90,98,H
Pilots,2021/3/13,Lioneers,88,105,H
Pilots,2021/3/14,Fubon Braves,94,124,H
Pilots,2021/3/21,Dreamers,100,107,H
Pilots,2021/3/27,Fubon Braves,93,109,H
Pilots,2021/3/28,Lioneers,82,132,H
Pilots,2021/4/3,Dreamers,106,95,H
Pilots,2021/4/5,Fubon Braves,100,110,A
Pilots,2021/4/10,Fubon Braves,101,117,H
Pilots,2021/12/12,Dreamers,92,95,H
Pilots,2021/12/18,Steelers,64,84,A
Pilots,2021/12/19,Lioneers,83,95,A
Pilots,2021/12/24,Kings,109,94,H
Pilots,2021/12/26,Steelers,88,70,H
Pilots,2022/1/8,Kings,90,101,H
Pilots,2022/1/14,Steelers,101,94,H
Pilots,2022/1/16,Fubon Braves,84,103,H
Pilots,2022/1/23,Lioneers,65,91,H
Pilots,2022/2/12,Lioneers,80,101,H
Pilots,2022/3/5,Dreamers,81,77,A
Pilots,2022/3/6,Fubon Braves,79,99,A
Pilots,2022/3/8,Kings,97,95,H
Pilots,2022/3/13,Fubon Braves,82,91,A
Pilots,2022/3/19,Kings,92,102,A
Pilots,2022/3/20,Fubon Braves,85,95,A
Pilots,2022/3/25,Lioneers,97,89,H
Pilots,2022/3/27,Kings,104,111,H
Pilots,2022/4/1,Lioneers,97,116,A
Pilots,2022/4/3,Dreamers,77,111,H
Pilots,2022/4/9,Kings,85,95,A
Pilots,2022/4/10,Steelers,102,107,A
Pilots,2022/4/12,Dreamers,87,92,A
Pilots,2022/4/16,Steelers,106,104,H
Pilots,2022/4/24,Dreamers,97,104,H
Pilots,2022/4/30,Fubon Braves,80,86,A
Pilots,2022/5/1,Lioneers,86,94,A
Pilots,2022/5/14,Fubon Braves,97,98,H
Pilots,2022/5/27,Dreamers,76,110,A
Pilots,2022/11/12,Kings,91,104,H
Pilots,2022/11/20,Dreamers,77,88,H
Pilots,2022/11/27,Steelers,108,78,H
Pilots,2022/12/2,Kings,88,93,H
Pilots,2022/12/4,Lioneers,94,80,H
Pilots,2022/12/10,Lioneers,102,79,A
Pilots,2022/12/11,Steelers,100,83,A
Pilots,2022/12/17,Kings,88,74,A
Pilots,2022/12/18,Dreamers,84,80,A
Pilots,2022/12/24,Lioneers,103,60,A
Pilots,2022/12/25,Fubon Braves,90,85,A
Pilots,2023/1/1,Lioneers,105,90,A
