Team,Date,Opponents,Score,Lost,Home/Away
Steelers,2021/12/5,Fubon Braves,82,107,H
Steelers,2021/12/12,Lioneers,95,105,H
Steelers,2021/12/18,Pilots,84,64,H
Steelers,2021/12/25,Dreamers,104,106,A
Steelers,2021/12/26,Pilots,70,88,A
Steelers,2022/1/8,Lioneers,98,97,H
Steelers,2022/1/14,Pilots,94,101,A
Steelers,2022/1/16,Dreamers,82,89,H
Steelers,2022/1/21,Lioneers,105,92,A
Steelers,2022/1/23,Fubon Braves,94,82,A
Steelers,2022/2/13,Dreamers,68,74,H
Steelers,2022/2/19,Fubon Braves,87,106,A
Steelers,2022/2/20,Kings,70,100,A
Steelers,2022/3/5,Lioneers,87,97,H
Steelers,2022/3/12,Lioneers,95,103,A
Steelers,2022/3/13,Kings,93,103,A
Steelers,2022/3/18,Fubon Braves,91,111,H
Steelers,2022/3/20,Dreamers,88,109,H
Steelers,2022/3/26,Dreamers,95,80,A
Steelers,2022/3/27,Lioneers,96,107,A
Steelers,2022/4/2,Kings,94,105,H
Steelers,2022/4/4,Fubon Braves,97,113,H
Steelers,2022/4/10,Pilots,107,102,H
Steelers,2022/4/16,Pilots,104,106,A
Steelers,2022/4/17,Fubon Braves,87,109,A
Steelers,2022/4/24,Kings,101,92,H
Steelers,2022/4/30,Kings,100,80,A
Steelers,2022/5/1,Dreamers,120,103,A
Steelers,2022/5/14,Kings,76,106,H
Steelers,2022/11/6,Fubon Braves,114,,H
Steelers,2022/11/12,Dreamers,76,84,H
Steelers,2022/11/19,Lioneers,83,89,H
Steelers,2022/11/27,Pilots,78,108,A
Steelers,2022/11/29,Lioneers,101,102,A
Steelers,2022/12/3,Fubon Braves,119,125,A
Steelers,2022/12/4,Kings,115,95,A
Steelers,2022/12/11,Pilots,83,100,H
Steelers,2022/12/17,Fubon Braves,80,114,H
Steelers,2022/12/20,Kings,89,100,A
Steelers,2022/12/24,Dreamers,94,117,H
Steelers,2022/12/27,Lioneers,85,109,H
Steelers,2022/12/31,Kings,86,109,H
