Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Lost,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Dreamers,2020/12/19,Fubon Braves,89 - 86,15 - 39,38.5,16 - 44,36.4,8る9ら,88.9,86,89,36,12,15,11,6,18,L,Round 1,H
Dreamers,2020/12/20,Pilots,103 - 83,22 - 48,45.8,9 - 42,21.4,12る20ら,60,83,103,42,8,12,7,5,18,L,Round 1,H
Dreamers,2021/1/3,Pilots,100 - 104,17 - 38,44.7,18 - 42,42.9,12る18ら,66.7,100,104,39,18,13,8,1,20,L,Round 3,A
Dreamers,2021/1/9,Lioneers,95 - 87,18 - 39,46.2,12 - 42,28.6,23 - 27,85.2,95,87,54,16,14,7,2,27,W,Round 4,A
Dreamers,2021/1/16,Fubon Braves,95 - 115,14 - 33,42.4,17 - 51,33.3,16 - 23,69.6,95,115,37,17,8,8,4,26,L,Round 5,A
Dreamers,2021/1/17,Pilots,86 - 90,23 - 50,46,9る30ら,30,13 - 16,81.3,86,90,33,19,10,13,1,17,L,Round 6,A
Dreamers,2021/1/23,Pilots,84 - 89,19 - 52,36.5,12 - 48,25,10る19ら,52.6,84,89,53,18,10,13,7,24,L,Round 7,H
Dreamers,2021/1/24,Lioneers,92 - 81,27 - 53,50.9,7 - 35,20,17 - 22,77.3,92,81,58,13,15,12,3,25,W,Round 8,H
Dreamers,2021/1/30,Lioneers,92 - 103,22 - 46,47.8,14 - 33,42.4,17 - 24,70.8,103,92,33,13,9,9,2,28,W,Round 9,A
Dreamers,2021/1/31,Fubon Braves,111 - 84,22 - 46,47.8,8 - 44,18.2,16 - 19,84.2,84,111,42,14,10,7,2,18,L,Round 10,A
Dreamers,2021/2/6,Fubon Braves,91 - 100,22 - 46,47.8,13 - 40,32.5,17 - 24,70.8,100,91,42,22,14,14,0,22,W,Round 11,A
Dreamers,2021/2/7,Lioneers,85 - 96,23 - 54,42.6,13 - 31,41.9,11る17ら,64.7,96,85,47,14,10,8,2,19,W,Round 12,A
Dreamers,2021/2/21,Pilots,102 - 99,19 - 38,50,16 - 41,39,16 - 21,76.2,102,99,35,17,17,13,4,18,W,Round 13,H
Dreamers,2021/2/27,Fubon Braves,89 - 101,22 - 43,51.2,14 - 41,34.1,15 - 24,62.5,101,89,50,15,16,14,2,22,W,Round 14,A
Dreamers,2021/2/28,Pilots,90 - 98,21 - 45,46.7,14 - 41,34.1,14 - 18,77.8,98,90,45,20,13,12,3,16,W,Round 14,A
Dreamers,2021/3/6,Fubon Braves,104 - 114,20 - 40,50,17 - 51,33.3,13 - 15,86.7,104,114,42,17,17,11,3,26,L,Round 15,H
Dreamers,2021/3/13,Fubon Braves,94 - 99,22 - 41,53.7,12 - 52,23.1,14 - 18,77.8,94,99,41,17,9,12,2,25,L,Round 16,H
Dreamers,2021/3/14,Lioneers,105 - 112,23 - 43,53.5,14 - 42,33.3,17 - 22,77.3,105,112,34,22,12,12,1,20,L,Round 17,H
Dreamers,2021/3/20,Lioneers,99 - 87,15 - 46,32.6,13 - 37,35.1,18 - 27,66.7,87,99,45,9,14,6,3,28,L,Round 18,A
Dreamers,2021/3/21,Pilots,100 - 107,21 - 47,44.7,15 - 44,34.1,20 - 24,83.3,107,100,52,23,9,7,1,13,W,Round 18,A
Dreamers,2021/3/27,Lioneers,99 - 91,15 - 46,32.6,20 - 51,39.2,9る13ら,69.2,99,91,53,25,12,9,4,16,W,Round 19,H
Dreamers,2021/3/28,Fubon Braves,106 - 110,19 - 40,47.5,17 - 53,32.1,17 - 24,70.8,106,110,50,20,7,6,2,26,L,Round 20,H
Dreamers,2021/4/3,Pilots,106 - 95,13 - 27,48.1,18 - 55,32.7,15 - 28,53.6,95,106,41,19,10,8,2,14,L,Round 21,A
Dreamers,2021/4/4,Lioneers,108 - 100,25 - 39,64.1,9 - 33,27.3,23 - 32,71.9,100,108,35,18,13,7,3,26,L,Round 21,A
Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Lost,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away.1
Dreamers,2021/12/4,Fubon Braves,111 - 108,27 - 50,54,16 - 44,36.4,9る19ら,47.4,111,108,41,21,14,16,2,24,W,Round 1,H
Dreamers,2021/12/11,Kings,84 - 64,16 - 55,29.1,6 - 35,17.1,14 - 20,70,64,84,49,12,15,10,7,17,L,Round 2,A
Dreamers,2021/12/12,Pilots,92 - 95,31 - 55,56.4,7る24ら,29.2,12る18ら,66.7,95,92,42,21,30,12,4,22,W,Round 2,A
Dreamers,2021/12/19,Kings,89 - 94,19 - 49,38.8,13 - 46,28.3,12る15ら,80,89,94,48,16,16,7,3,27,L,Round 3,H
Dreamers,2021/12/25,Steelers,106 - 104,26 - 50,52,11る28ら,39.3,21 - 30,70,106,104,50,25,17,9,3,21,W,Round 4,H
Dreamers,2022/1/7,Fubon Braves,80 - 86,12 - 43,27.9,19 - 39,48.7,5る6ら,83.3,86,80,51,24,19,10,12,24,W,Round 6,A
Dreamers,2022/1/9,Lioneers,80 - 86,19 - 58,32.8,10 - 45,22.2,12る18ら,66.7,80,86,54,16,12,11,6,31,L,Round 6,H
