Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Fubon Braves,2020/12/19,Dreamers,89 - 86,24 - 49,49,10 - 41,24.4,11 - 14,78.6,89,58,12,21,12,5,15,W,Round 1,A
Fubon Braves,2020/12/27,Lioneers,96 - 87,29 - 56,51.8,7 - 22,31.8,17 - 28,60.7,96,55,16,21,6,8,18,W,Round 2,A
Fubon Braves,2021/1/2,Pilots,83 - 93,31 - 62,50,6 - 34,17.6,13 - 22,59.1,93,58,22,12,7,1,19,W,Round 3,H
Fubon Braves,2021/1/3,Lioneers,86 - 96,30 - 53,56.6,6 - 35,17.1,18 - 22,81.8,96,64,24,24,8,1,23,W,Round 3,H
Fubon Braves,2021/1/10,Lioneers,105 - 98,28 - 57,49.1,10 - 33,30.3,19 - 28,67.9,105,53,29,19,14,6,19,W,Round 4,A
Fubon Braves,2021/1/16,Dreamers,95 - 115,33 - 59,55.9,11 - 26,42.3,16 - 25,64,115,57,24,14,5,6,20,W,Round 5,H
Fubon Braves,2021/1/17,Lioneers,111 - 102,32 - 61,52.5,5 - 28,17.9,23 - 29,79.3,102,53,22,13,5,2,23,L,Round 6,H
Fubon Braves,2021/1/23,Lioneers,87 - 67,25 - 59,42.4,7 - 23,30.4,16 - 25,64,87,54,22,15,13,1,15,W,Round 7,H
Fubon Braves,2021/1/24,Pilots,102 - 79,32 - 58,55.2,9 - 33,27.3,11 - 15,73.3,102,54,27,13,14,3,14,W,Round 8,H
Fubon Braves,2021/1/30,Pilots,110 - 97,25 - 55,45.5,14 - 31,45.2,18 - 26,69.2,110,54,23,14,11,5,15,W,Round 9,H
Fubon Braves,2021/1/31,Dreamers,111 - 84,33 - 61,54.1,11 - 30,36.7,12 - 16,75,111,59,20,15,10,5,17,W,Round 10,H
Fubon Braves,2021/2/6,Dreamers,91 - 100,28 - 54,51.9,5 - 23,21.7,20 - 25,80,91,49,16,24,9,2,21,L,Round 11,H
Fubon Braves,2021/2/7,Pilots,82 - 97,24 - 67,35.8,6 - 23,26.1,16 - 30,53.3,82,48,20,18,11,3,14,L,Round 12,H
Fubon Braves,2021/2/21,Lioneers,97 - 106,29 - 60,48.3,10 - 30,33.3,18 - 23,78.3,106,54,23,11,13,6,18,W,Round 13,A
Fubon Braves,2021/2/27,Dreamers,89 - 101,25 - 52,48.1,7 - 21,33.3,18 - 31,58.1,89,48,16,24,9,4,19,L,Round 14,H
Fubon Braves,2021/3/1,Lioneers,76 - 83,21 - 59,35.6,8 - 31,25.8,10 - 21,47.6,76,56,19,17,8,6,20,L,Round 15,H
Fubon Braves,2021/3/6,Dreamers,104 - 114,26 - 49,53.1,12 - 31,38.7,26 - 37,70.3,114,52,21,17,9,1,15,W,Round 15,A
Fubon Braves,2021/3/7,Lioneers,105 - 109,25 - 47,53.2,14 - 31,45.2,17 - 20,85,109,39,23,18,11,3,19,W,Round 15,A
Fubon Braves,2021/3/13,Dreamers,94 - 99,20 - 43,46.5,14 - 41,34.1,17 - 25,68,99,61,19,18,5,2,18,W,Round 16,A
Fubon Braves,2021/3/14,Pilots,94 - 124,34 - 55,61.8,16 - 34,47.1,8 - 10,80,124,51,39,21,9,6,13,W,Round 17,A
Fubon Braves,2021/3/27,Pilots,93 - 109,27 - 52,51.9,13 - 38,34.2,16 - 22,72.7,109,50,23,17,16,8,19,W,Round 19,A
Fubon Braves,2021/3/28,Dreamers,106 - 110,25 - 50,50,13 - 41,31.7,21 - 28,75,110,59,27,12,3,3,18,W,Round 20,A
Fubon Braves,2021/4/5,Pilots,110 - 100,33 - 57,57.9,9 - 26,34.6,17 - 30,56.7,110,48,27,11,15,2,13,W,Round 22,H
Fubon Braves,2021/4/10,Pilots,101 - 117,34 - 65,52.3,13 - 36,36.1,10 - 15,66.7,117,53,30,15,15,2,12,W,Round 22,A
Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Fubon Braves,2021/12/4,Dreamers,111 - 108,32 - 62,51.6,8 - 31,25.8,20 - 27,74.1,108,61,20,24,8,1,18,L,Round 1,A
Fubon Braves,2021/12/5,Steelers,82 - 107,38 - 79,48.1,8 - 28,28.6,7 - 12,58.3,107,62,17,11,15,6,8,W,Round 1,A
Fubon Braves,2021/12/11,Lioneers,98 - 87,29 - 68,42.6,9 - 28,32.1,13 - 22,59.1,98,58,16,12,10,8,25,W,Round 2,H
Fubon Braves,2021/12/18,Kings,102 - 109,24 - 54,44.4,13 - 34,38.2,15 - 17,88.2,102,55,15,22,12,4,21,L,Round 3,H
Fubon Braves,2021/12/25,Lioneers,92 - 82,23 - 57,40.4,10 - 30,33.3,16 - 23,69.6,92,51,11,12,9,3,23,W,Round 4,H
Fubon Braves,2022/1/1,Lioneers,114 - 106,24 - 54,44.4,11 - 27,40.7,25 - 31,80.6,106,38,15,20,16,3,18,L,Round 5,A
Fubon Braves,2022/1/2,Kings,115 - 120,33 - 62,53.2,14 - 41,34.1,12 - 17,70.6,120,58,23,11,11,4,13,W,Round 5,A
Fubon Braves,2022/1/7,Dreamers,80 - 86,26 - 59,44.1,6 - 29,20.7,10 - 18,55.6,80,49,18,15,12,7,13,L,Round 6,H
Fubon Braves,2022/1/9,Kings,95 - 91,25 - 52,48.1,12 - 42,28.6,9 - 13,69.2,95,53,23,8,4,4,19,W,Round 6,H
Fubon Braves,2022/1/15,Kings,102 - 75,28 - 50,56,4 - 35,11.4,7 - 12,58.3,75,33,18,13,4,0,12,L,Round 7,A
Fubon Braves,2022/1/16,Pilots,84 - 103,32 - 59,54.2,11 - 32,34.4,6 - 7,85.7,103,48,29,16,10,2,13,W,Round 7,A
Fubon Braves,2022/1/23,Steelers,82 - 94,25 - 43,58.1,5 - 26,19.2,17 - 21,81,82,37,15,19,8,4,19,L,Round 8,H
Fubon Braves,2022/2/12,Dreamers,83 - 68,20 - 34,58.8,11 - 37,29.7,10 - 17,58.8,83,48,17,17,1,1,18,W,Round 9,H
Fubon Braves,2022/2/19,Steelers,106 - 87,28 - 43,65.1,13 - 42,31,11 - 12,91.7,106,43,22,7,9,6,15,W,Round 10,H
Fubon Braves,2022/3/6,Pilots,99 - 79,25 - 45,55.6,10 - 36,27.8,19 - 25,76,99,57,22,18,5,0,20,W,Round 12,H
Fubon Braves,2022/3/12,Dreamers,101 - 121,33 - 56,58.9,10 - 25,40,25 - 33,75.8,121,52,27,11,7,9,19,W,Round 13,A
Fubon Braves,2022/3/13,Pilots,82 - 91,24 - 40,60,11 - 39,28.2,10 - 16,62.5,91,60,22,27,7,6,18,W,Round 13,A
Fubon Braves,2022/3/18,Steelers,91 - 111,35 - 57,61.4,9 - 35,25.7,14 - 19,73.7,111,55,32,16,13,9,17,W,Round 14,A
Fubon Braves,2022/3/20,Pilots,95 - 85,28 - 47,59.6,8 - 23,34.8,15 - 25,60,95,44,23,17,9,3,14,W,Round 14,H
Fubon Braves,2022/3/26,Kings,99 - 107,24 - 54,44.4,12 - 38,31.6,15 - 21,71.4,99,52,21,11,10,1,19,L,Round 15,H
Fubon Braves,2022/4/3,Lioneers,114 - 103,18 - 37,48.6,19 - 51,37.3,10 - 13,76.9,103,40,27,11,5,5,20,L,Round 16,A
Fubon Braves,2022/4/4,Steelers,97 - 113,31 - 58,53.4,14 - 38,36.8,9 - 19,47.4,113,59,31,11,6,2,14,W,Round 16,A
Fubon Braves,2022/4/10,Lioneers,91 - 98,20 - 47,42.6,13 - 41,31.7,12 - 26,46.2,91,43,18,10,13,5,23,L,Round 17,H
Fubon Braves,2022/4/17,Steelers,109 - 87,27 - 47,57.4,16 - 42,38.1,7 - 12,58.3,109,53,25,10,10,1,13,W,Round 18,H
Fubon Braves,2022/4/23,Dreamers,87 - 124,20 - 45,44.4,9 - 35,25.7,20 - 35,57.1,87,49,23,12,5,4,17,L,Round 19,H
Fubon Braves,2022/4/30,Pilots,86 - 80,21 - 49,42.9,12 - 28,42.9,8 - 12,66.7,86,45,17,12,7,5,15,W,Round 20,H
Fubon Braves,2022/5/14,Pilots,97 - 98,25 - 49,51,11 - 29,37.9,15 - 17,88.2,98,40,27,18,8,3,16,W,Round 21,A
Fubon Braves,2022/5/15,Dreamers,104 - 100,17 - 37,45.9,16 - 44,36.4,18 - 24,75,100,35,24,14,7,5,21,L,Round 21,A
Fubon Braves,2022/5/18,Kings,98 - 103,28 - 54,51.9,14 - 33,42.4,5 - 13,38.5,103,51,26,16,8,7,16,W,Round 22,A
Fubon Braves,2022/5/21,Lioneers,108 - 99,25 - 46,54.3,13 - 37,35.1,10 - 16,62.5,99,41,25,18,6,2,19,L,Round 22,A
Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Fubon Braves,2022/11/5,Lioneers,94 - 102,26 - 59,44.07,12 - 28,42.86,14 - 19,73.68,102,45,16,16,16,7,18,W,Round 1 ,A
Fubon Braves,2022/11/6,Steelers,114 - 117,31 - 59,52.54,12 - 31,38.71,19 - 29,65.52,117,53,30,14,10,5,17,W,Round 1 ,A
Fubon Braves,2022/11/13,Dreamers,108 - 75,23 - 40,57.5,15 - 38,39.47,17 - 21,80.95,108,64,29,20,11,9,25,W,Round 3 ,H
Fubon Braves,2022/11/20,Lioneers,104 - 108,36 - 68,52.94,7 - 36,19.44,11 - 19,57.89,104,61,24,15,8,3,22,L,Round 5 ,H
Fubon Braves,2022/11/25,Kings,89 - 104,18 - 43,41.86,12 - 41,29.27,17 - 32,53.13,89,58,17,15,7,7,14,L,Round 6 ,H
Fubon Braves,2022/12/3,Steelers,125 - 119,31 - 54,57.41,12 - 30,40,27 - 33,81.82,125,49,30,15,7,7,20,W,Round 7 ,H
