Team,Season,Home/Away,Total,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PT,OREB,DREB,REB,AST,STL,BLK,TO,Foul,Bench ,Paint
Kings,2021-22,H,15,21.53,43.87,49.09%,13.93,42.6,32.71%,15.33,22,69.7%,100.2,12.93,36.4,49.33,24.27,8.67,4.07,15.27,17.8,29.87,32.93
Kings,2021-22,A,15,21.2,45.8,46.29%,12.2,39.13,31.18%,17.6,23.93,73.54%,96.6,13.87,34.2,48.07,18.07,10.67,4,16.4,17.93,28.67,34.4
Kings,2022-23,H,7,23.86,49.57,48.13%,13.71,38.86,35.29%,11.14,14.86,75%,100,16.71,39,55.71,23.29,10.86,4.57,17.57,15.43,33.71,38.57
Kings,2022-23,A,7,25.14,52.86,47.57%,11,36.14,30.43%,13.57,18.43,73.64%,96.86,18.29,36.86,55.14,22.43,9.43,4.43,16.43,16.57,25.14,45.43
Steelers,2021-22,H,15,22.6,47.13,47.95%,11.6,36.87,31.46%,14.27,20.93,68.15%,94.27,11.4,34.8,46.2,20.6,10.4,2.67,17.87,19.87,19.13,38.4
Steelers,2021-22,A,14,22.79,48.21,47.26%,11.5,39.57,29.06%,9.21,13.93,66.15%,89.29,10.36,34.43,44.79,21.93,9.79,2.71,13.79,17.79,18.5,37.57
Steelers,2022-23,H,5,23.6,46.2,51.08%,12.2,35.8,34.08%,16.6,26.4,62.88%,100.4,13,34.2,47.2,19,6.6,3.2,16,17.4,28,40.4
Steelers,2022-23,A,8,22.13,50.88,43.49%,9.75,34.88,27.96%,14.13,19.63,71.97%,87.63,14.75,35.63,50.38,19.88,7.25,3.25,15.5,17.38,22.63,35.75
Lioneers,2020-21,H,12,27,57.17,47.23%,8.33,28.42,29.33%,15.83,25.08,63.12%,94.83,13.08,36.67,49.75,23.42,10.67,5,16.83,20.42,26.17,44.17
Lioneers,2020-21,A,12,25.33,56.58,44.77%,8.5,28.58,29.74%,19,27.83,68.26%,95.17,13.83,33.33,47.17,21,10.92,4.25,14.42,23.5,29.75,43.67
Lioneers,2021-22,H,15,27.53,56.07,49.11%,7.6,28.4,26.76%,15.67,25.33,61.84%,93.53,14.73,38.87,53.6,19.07,8.27,5.27,19.2,21,23.8,49.6
Lioneers,2021-22,A,15,27.67,57.53,48.09%,10.33,29.67,34.83%,16.27,25.4,64.04%,102.6,14.67,38.67,53.33,20.73,9.07,4.27,17,22.93,20.73,47.07
Lioneers,2022-23,H,7,28.14,59.71,47.13%,7.71,27.71,27.84%,14.86,25,59.43%,94.29,15.43,38,53.43,18.29,8.57,5,12.86,19.57,19.71,49.14
Lioneers,2022-23,A,6,23.5,49,47.96%,7.83,27.5,28.48%,14.67,25.33,57.89%,85.17,15.83,30.67,46.5,18.5,10.17,3,22.5,16.5,20.67,40.33
Fubon Braves,2020-21,H,12,28.83,54.67,52.74%,11.08,33.75,32.84%,16.92,23.17,73.02%,107.83,14.75,39.5,54.25,24.75,8.83,3.42,16,18.08,36.92,49
Fubon Braves,2020-21,A,12,27.25,57,47.81%,8.58,28.08,30.56%,15.42,24.08,64.01%,95.67,15.67,37.33,53,20.58,11,4.17,17.67,16.67,29.17,46.67
Fubon Braves,2021-22,H,15,28.2,53.33,52.88%,11.53,35,32.95%,12.87,18.4,69.93%,103.87,12.27,36.6,48.87,24.2,8.73,4.27,15.8,16.13,32.53,48.53
