Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Lioneers,2020/12/26,Pilots,91 - 97,30 - 65,46.2,5 - 16,31.3,22 - 31,71,97,46,23,16,12,2,24,W,Round 2,H
Lioneers,2020/12/27,Fubon Braves,96 - 87,18 - 50,36,13 - 37,35.1,12 - 25,48,87,43,21,16,17,5,24,L,Round 2,H
Lioneers,2021/1/3,Fubon Braves,86 - 96,26 - 63,41.3,6 - 30,20,16 - 20,80,86,42,20,11,13,2,24,L,Round 3,A
Lioneers,2021/1/9,Dreamers,95 - 87,21 - 51,41.2,7 - 29,24.1,24 - 35,68.6,87,44,20,14,8,2,23,L,Round 4,H
Lioneers,2021/1/10,Fubon Braves,105 - 98,26 - 51,51,10 - 31,32.3,16 - 20,80,98,38,26,20,12,4,21,L,Round 4,H
Lioneers,2021/1/16,Pilots,91 - 106,23 - 54,42.6,11 - 34,32.4,12 - 18,66.7,91,35,20,13,17,3,25,L,Round 5,A
Lioneers,2021/1/17,Fubon Braves,111 - 102,28 - 55,50.9,11 - 27,40.7,22 - 28,78.6,111,37,24,6,13,6,24,W,Round 6,A
Lioneers,2021/1/23,Fubon Braves,87 - 67,20 - 48,41.7,7 - 41,17.1,6 - 19,31.6,67,54,19,17,10,3,19,L,Round 7,A
Lioneers,2021/1/24,Dreamers,92 - 81,16 - 43,37.2,10 - 40,25,19 - 26,73.1,81,47,20,17,9,3,21,L,Round 8,A
Lioneers,2021/1/30,Dreamers,92 - 103,26 - 45,57.8,5 - 23,21.7,25 - 39,64.1,92,48,22,18,6,6,26,L,Round 9,H
Lioneers,2021/1/31,Pilots,84 - 72,21 - 62,33.9,8 - 23,34.8,18 - 30,60,84,53,18,16,13,5,20,W,Round 10,H
Lioneers,2021/2/6,Pilots,82 - 111,23 - 47,48.9,5 - 27,18.5,21 - 29,72.4,82,31,14,22,14,7,28,L,Round 11,H
Lioneers,2021/2/7,Dreamers,85 - 96,21 - 58,36.2,8 - 31,25.8,19 - 28,67.9,85,58,18,13,7,6,18,L,Round 12,H
Lioneers,2021/2/20,Pilots,102 - 108,26 - 60,43.3,7 - 23,30.4,29 - 37,78.4,102,45,23,12,7,4,29,L,Round 13,H
Lioneers,2021/2/21,Fubon Braves,97 - 106,25 - 57,43.9,12 - 35,34.3,11 - 21,52.4,97,56,21,17,10,4,23,L,Round 13,H
Lioneers,2021/2/27,Pilots,106 - 98,24 - 55,43.6,11 - 31,35.5,17 - 28,60.7,98,50,26,18,12,8,27,L,Round 14,A
Lioneers,2021/3/1,Fubon Braves,76 - 83,26 - 58,44.8,4 - 23,17.4,19 - 26,73.1,83,48,18,14,10,5,17,W,Round 15,A
Lioneers,2021/3/7,Fubon Braves,105 - 109,29 - 58,50,10 - 32,31.3,17 - 19,89.5,105,46,22,18,12,2,16,L,Round 15,H
Lioneers,2021/3/13,Pilots,88 - 105,38 - 66,57.6,5 - 16,31.3,14 - 26,53.8,105,48,22,18,15,4,16,W,Round 16,A
Lioneers,2021/3/14,Dreamers,105 - 112,31 - 56,55.4,13 - 28,46.4,11 - 17,64.7,112,52,27,20,7,5,19,W,Round 17,A
