Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Pilots,2021/12/12,Dreamers,92 - 95,20 - 53,37.7,9 - 34,26.5,25 - 36,69.4,92,51,14,18,16,3,20,L,Round 2,H
Pilots,2021/12/18,Steelers,84 - 64,18 - 53,34,7 - 34,20.6,7 - 19,36.8,64,57,10,13,4,4,13,L,Round 3,A
Pilots,2021/12/19,Lioneers,95 - 83,24 - 66,36.4,7 - 29,24.1,14 - 20,70,83,45,16,10,11,3,19,L,Round 3,A
Pilots,2021/12/24,Kings,109 - 94,35 - 71,49.3,11 - 24,45.8,6 - 11,54.5,109,56,30,12,10,3,20,W,Round 4,H
Pilots,2021/12/26,Steelers,88 - 70,31 - 52,59.6,4 - 23,17.4,14 - 17,82.4,88,48,13,14,12,4,14,W,Round 4,H
Pilots,2022/1/8,Kings,90 - 101,29 - 54,53.7,9 - 30,30,5 - 12,41.7,90,39,24,14,10,3,15,L,Round 6,H
Pilots,2022/1/14,Steelers,101 - 94,28 - 49,57.1,12 - 32,37.5,9 - 12,75,101,49,24,21,9,3,17,W,Round 7,H
Pilots,2022/1/16,Fubon Braves,84 - 103,21 - 43,48.8,11 - 34,32.4,9 - 12,75,84,35,18,17,12,0,13,L,Round 7,H
Pilots,2022/1/23,Lioneers,65 - 91,17 - 56,30.4,6 - 22,27.3,13 - 16,81.3,65,35,17,16,11,4,15,L,Round 8,H
Pilots,2022/2/12,Lioneers,80 - 101,24 - 54,44.4,7 - 26,26.9,11 - 18,61.1,80,41,21,17,10,2,21,L,Round 9,H
Pilots,2022/3/5,Dreamers,77 - 81,27 - 59,45.8,3 - 22,13.6,18 - 25,72,81,50,19,15,18,5,14,W,Round 12,A
Pilots,2022/3/6,Fubon Braves,99 - 79,26 - 58,44.8,5 - 28,17.9,12 - 21,57.1,79,41,13,12,11,3,17,L,Round 12,A
Pilots,2022/3/8,Kings,95 - 97,34 - 67,50.7,5 - 18,27.8,14 - 18,77.8,97,45,15,18,12,2,22,W,Round 13,H
Pilots,2022/3/13,Fubon Braves,82 - 91,23 - 62,37.1,8 - 27,29.6,12 - 14,85.7,82,36,14,10,14,4,15,L,Round 13,A
Pilots,2022/3/19,Kings,102 - 92,35 - 61,57.4,5 - 27,18.5,7 - 17,41.2,92,40,23,8,13,6,20,L,Round 14,A
Pilots,2022/3/20,Fubon Braves,95 - 85,24 - 52,46.2,10 - 31,32.3,7 - 9,77.8,85,36,21,13,7,2,17,L,Round 14,A
Pilots,2022/3/25,Lioneers,97 - 89,31 - 60,51.7,7 - 22,31.8,14 - 27,51.9,97,52,14,14,8,2,28,W,Round 15,H
Pilots,2022/3/27,Kings,104 - 111,24 - 51,47.1,14 - 36,38.9,14 - 21,66.7,104,36,25,14,14,6,21,L,Round 15,H
Pilots,2022/4/1,Lioneers,116 - 97,23 - 52,44.2,9 - 35,25.7,24 - 31,77.4,97,40,17,12,9,2,22,L,Round 16,A
Pilots,2022/4/3,Dreamers,77 - 111,20 - 55,36.4,9 - 37,24.3,10 - 17,58.8,77,48,18,12,7,1,20,L,Round 16,H
Pilots,2022/4/9,Kings,95 - 85,27 - 62,43.5,6 - 29,20.7,13 - 14,92.9,85,52,13,17,12,3,16,L,Round 17,A
Pilots,2022/4/10,Steelers,107 - 102,27 - 47,57.4,14 - 41,34.1,6 - 7,85.7,102,46,29,16,5,4,16,L,Round 17,A
Pilots,2022/4/12,Dreamers,92 - 87,26 - 52,50,7 - 33,21.2,14 - 19,73.7,87,53,20,17,8,8,24,L,Round 17,A
Pilots,2022/4/16,Steelers,106 - 104,22 - 41,53.7,16 - 40,40,14 - 22,63.6,106,57,23,26,14,5,16,W,Round 18,H
Pilots,2022/4/24,Dreamers,97 - 104,20 - 43,46.5,15 - 33,45.5,12 - 17,70.6,97,44,20,16,9,2,16,L,Round 19,H
Pilots,2022/4/30,Fubon Braves,86 - 80,23 - 55,41.8,8 - 30,26.7,10 - 12,83.3,80,43,16,13,7,1,17,L,Round 20,A
Pilots,2022/5/1,Lioneers,94 - 86,25 - 57,43.9,8 - 27,29.6,12 - 14,85.7,86,45,22,17,7,0,21,L,Round 20,A
Pilots,2022/5/14,Fubon Braves,97 - 98,30 - 58,51.7,10 - 31,32.3,7 - 11,63.6,97,49,23,13,12,4,13,L,Round 21,H
