Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Steelers,2021/12/5,Fubon Braves,82 - 107,24 - 49,49,11 - 45,24.4,1 - 5,20,82,51,20,21,8,5,16,L,Round 1,H
Steelers,2021/12/12,Lioneers,95 - 105,32 - 73,43.8,7 - 25,28,10 - 13,76.9,95,39,14,16,14,1,24,L,Round 2,H
Steelers,2021/12/18,Pilots,84 - 64,25 - 48,52.1,8 - 35,22.9,10 - 16,62.5,84,50,19,7,7,2,20,W,Round 3,H
Steelers,2021/12/25,Dreamers,106 - 104,25 - 52,48.1,13 - 36,36.1,15 - 21,71.4,104,35,24,12,9,2,22,L,Round 4,A
Steelers,2021/12/26,Pilots,88 - 70,18 - 47,38.3,8 - 41,19.5,10 - 13,76.9,70,42,8,16,11,2,16,L,Round 4,A
Steelers,2022/1/8,Lioneers,98 - 97,30 - 49,61.2,9 - 31,29,11 - 19,57.9,98,37,25,8,11,4,24,W,Round 6,H
Steelers,2022/1/14,Pilots,101 - 94,25 - 47,53.2,11 - 41,26.8,11 - 15,73.3,94,40,28,16,14,1,14,L,Round 7,A
Steelers,2022/1/16,Dreamers,82 - 89,24 - 46,52.2,10 - 38,26.3,4 - 12,33.3,82,39,17,11,15,1,16,L,Round 7,H
Steelers,2022/1/21,Lioneers,92 - 105,29 - 48,60.4,10 - 29,34.5,17 - 26,65.4,105,47,27,26,10,1,20,W,Round 8,A
Steelers,2022/1/23,Fubon Braves,82 - 94,23 - 41,56.1,12 - 33,36.4,12 - 22,54.5,94,36,30,15,12,0,22,W,Round 8,A
Steelers,2022/2/13,Dreamers,68 - 74,14 - 42,33.3,12 - 42,28.6,4 - 7,57.1,68,50,16,19,12,4,14,L,Round 9,H
Steelers,2022/2/19,Fubon Braves,106 - 87,17 - 40,42.5,16 - 40,40,5 - 11,45.5,87,47,17,13,6,3,12,L,Round 10,A
Steelers,2022/2/20,Kings,100 - 70,21 - 51,41.2,7 - 23,30.4,7 - 13,53.8,70,54,14,28,8,6,20,L,Round 10,A
Steelers,2022/3/5,Lioneers,87 - 97,24 - 50,48,10 - 33,30.3,9 - 20,45,87,40,20,14,11,3,18,L,Round 12,H
Steelers,2022/3/12,Lioneers,103 - 95,23 - 52,44.2,8 - 36,22.2,25 - 38,65.8,95,63,19,18,9,6,26,L,Round 13,A
Steelers,2022/3/13,Kings,98 - 93,21 - 49,42.9,12 - 33,36.4,15 - 25,60,93,51,20,21,8,6,30,L,Round 13,A
Steelers,2022/3/18,Fubon Braves,91 - 111,19 - 45,42.2,12 - 39,30.8,17 - 20,85,91,42,18,18,11,3,20,L,Round 14,H
Steelers,2022/3/20,Dreamers,88 - 109,16 - 47,34,12 - 45,26.7,20 - 25,80,88,50,18,15,7,2,17,L,Round 14,H
Steelers,2022/3/26,Dreamers,80 - 95,22 - 52,42.3,10 - 34,29.4,21 - 30,70,95,51,14,18,12,2,19,W,Round 15,A
Steelers,2022/3/27,Lioneers,107 - 96,28 - 55,50.9,7 - 34,20.6,19 - 26,73.1,96,48,12,16,10,2,24,L,Round 15,A
Steelers,2022/4/2,Kings,94 - 105,22 - 46,47.8,14 - 41,34.1,8 - 11,72.7,94,36,28,14,12,3,17,L,Round 16,H
Steelers,2022/4/4,Fubon Braves,97 - 113,13 - 35,37.1,21 - 49,42.9,8 - 12,66.7,97,43,26,16,4,2,19,L,Round 16,H
Steelers,2022/4/10,Pilots,107 - 102,25 - 47,53.2,14 - 44,31.8,15 - 17,88.2,107,47,30,9,9,4,13,W,Round 17,H
Steelers,2022/4/16,Pilots,106 - 104,19 - 52,36.5,17 - 37,45.9,15 - 21,71.4,104,38,22,17,14,1,21,L,Round 18,A
Steelers,2022/4/17,Fubon Braves,109 - 87,17 - 37,45.9,14 - 44,31.8,11 - 13,84.6,87,37,22,14,6,4,16,L,Round 18,A
Steelers,2022/4/24,Kings,101 - 92,29 - 51,56.9,12 - 41,29.3,7 - 9,77.8,101,52,26,12,8,3,19,W,Round 19,H
Steelers,2022/4/30,Kings,80 - 100,25 - 39,64.1,14 - 45,31.1,8 - 11,72.7,100,56,24,23,14,2,21,W,Round 20,A
Steelers,2022/5/1,Dreamers,103 - 120,26 - 45,57.8,15 - 47,31.9,23 - 29,79.3,120,48,28,15,13,2,15,W,Round 20,A
Steelers,2022/5/14,Kings,76 - 106,22 - 47,46.8,9 - 46,19.6,5 - 9,55.6,76,51,30,13,8,1,12,L,Round 21,H
Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Steelers,2022/11/6,Fubon Braves,114 - 117,21 - 39,53.85,18 - 48,37.5,18 - 20,90,114,45,24,15,10,2,23,L,Round 1 ,H
Steelers,2022/11/12,Dreamers,76 - 84,20 - 56,35.71,10 - 42,23.81,6 - 7,85.71,76,62,16,14,5,4,16,L,Round 2 ,H
Steelers,2022/11/19,Lioneers,83 - 89,26 - 66,39.39,5 - 22,22.73,16 - 26,61.54,83,59,19,15,12,3,12,L,Round 4 ,H
Steelers,2022/11/27,Pilots,108 - 78,23 - 44,52.27,7 - 34,20.59,11 - 29,37.93,78,45,19,17,5,7,13,L,Round 6 ,A
Steelers,2022/11/29,Lioneers,102 - 101,19 - 41,46.34,15 - 37,40.54,18 - 26,69.23,101,40,22,13,11,3,22,L,Round 6 ,A
Steelers,2022/12/3,Fubon Braves,125 - 119,29 - 53,54.72,13 - 31,41.94,22 - 30,73.33,119,42,21,16,9,1,21,L,Round 7 ,A
Steelers,2022/12/4,Kings,95 - 115,29 - 48,60.42,13 - 39,33.33,18 - 26,69.23,115,54,16,12,5,3,16,W,Round 8 ,A
Steelers,2022/12/11,Pilots,83 - 100,20 - 46,43.48,10 - 35,28.57,13 - 15,86.67,83,49,17,15,4,6,17,L,Round 10,H
Steelers,2022/12/17,Fubon Braves,80 - 114,23 - 46,50,7 - 37,18.92,13 - 17,76.47,80,40,17,18,10,4,18,L,Round 11,H
Steelers,2022/12/20,Kings,100 - 89,18 - 45,40,13 - 38,34.21,14 - 21,66.67,89,55,17,22,3,2,15,L,Round 12,A
Steelers,2022/12/24,Dreamers,94 - 117,17 - 39,43.59,14 - 39,35.9,18 - 29,62.07,94,51,22,16,3,4,20,L,Round 13,H
Steelers,2022/12/27,Lioneers,85 - 109,24 - 51,47.06,7 - 31,22.58,16 - 24,66.67,85,48,21,14,4,1,21,L,Round 14,H
Steelers,2022/12/31,Kings,86 - 109,26 - 64,40.63,7 - 25,28,13 - 19,68.42,86,49,23,17,10,2,12,L,Round 15,H
