Date,Gamemode,Round,Home,Away
"Jan.7,2023",Regular Season ,Round 17,Kings, Lioneers
"Jan.8,2023",Regular Season ,Round 17,Fubon Braves, Lioneers
"Jan.13,2023",Regular Season ,Round 18,Dreamers, Lioneers
"Jan.14,2023",Regular Season ,Round 18,Kings, Lioneers
"Jan.28,2023",Regular Season ,Round 19,Lioneers, Dreamers
"Jan.31,2023",Regular Season ,Round 19,Lioneers, Pilots
"Feb.5,2023",Regular Season ,Round 20,Steelers, Lioneers
"Feb.7,2023",Regular Season ,Round 20,Pilots, Lioneers
"Feb.12,2023",Regular Season ,Round 21,Lioneers, Pilots
"Feb.19,2023",Regular Season ,Round 22,Kings, Lioneers
"Feb.21,2023",Regular Season ,Round 22,Lioneers, Fubon Braves
"Feb.26,2023",Regular Season ,Round 23,Dreamers, Lioneers
Date,Gamemode,Round,Home,Away
"Jan.6,2023",Regular Season ,Round 17,Pilots, Steelers
"Jan.8,2023",Regular Season ,Round 17,Dreamers, Steelers
"Jan.14,2023",Regular Season ,Round 18,Fubon Braves, Steelers
"Jan.17,2023",Regular Season ,Round 18,Steelers, Kings
"Jan.29,2023",Regular Season ,Round 19,Steelers, Fubon Braves
"Feb.3,2023",Regular Season ,Round 20,Dreamers, Steelers
"Feb.11,2023",Regular Season ,Round 21,Kings, Steelers
"Feb.12,2023",Regular Season ,Round 21,Dreamers, Steelers
"Feb.18,2023",Regular Season ,Round 22,Steelers, Dreamers
Date,Gamemode,Round,Home,Away
"Jan.29,2023",Regular Season ,Round 19,Kings, Dreamers
"Feb.4,2023",Regular Season ,Round 20,Kings, Fubon Braves
"Feb.19,2023",Regular Season ,Round 22,Kings, Lioneers
"Feb.25,2023",Regular Season ,Round 23,Kings, Pilots
Date,Gamemode,Round,Home,Away
"Jan.28,2023",Regular Season ,Round 19,Pilots, Fubon Braves
"Feb.5,2023",Regular Season ,Round 20,Dreamers, Fubon Braves
"Feb.11,2023",Regular Season ,Round 21,Fubon Braves, Pilots
"Feb.19,2023",Regular Season ,Round 22,Pilots, Fubon Braves
"Feb.24,2023",Regular Season ,Round 23,Dreamers, Fubon Braves
"Feb.26,2023",Regular Season ,Round 23,Fubon Braves, Pilots
Date,Gamemode,Round,Home,Away
"Jan.15,2023",Regular Season ,Round 18,Dreamers, Pilots
"Feb.17,2023",Regular Season ,Round 22,Pilots, Dreamers
